x,y
0.2982629,-0.55657506
-1.5565751,1.298263
-0.12915605,-1.112157
-0.12915605,1.112157
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.1170671,-0.5805638
-1.5805638,1.1170671
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.50296724,-0.50296724
1.5029672,1.5029672
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.00235635,-0.9952609
-1.995261,1.0023563
-0.12915605,-1.112157
-0.12915605,1.112157
-0.24550778,-0.98010033
1.9801004,1.2455077
0.00235635,-0.9952609
-1.995261,1.0023563
-0.12915605,-1.112157
-0.12915605,1.112157
-0.24550778,-0.98010033
1.9801004,1.2455077
0.00235635,-0.9952609
-1.995261,1.0023563
-0.12915605,-1.112157
-0.12915605,1.112157
-0.24550778,-0.98010033
1.9801004,1.2455077
0.00235635,-0.9952609
-1.995261,1.0023563
-0.12915605,-1.112157
-0.12915605,1.112157
-0.24550778,-0.98010033
1.9801004,1.2455077
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.10259229,-0.88292277
-0.10259229,0.88292277
-0.3646567,-0.3646567
1.3646567,1.3646567
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.3646567,-0.3646567
-1.3646567,1.3646567
-0.12915605,-1.112157
-0.12915605,1.112157
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
0,-0.76478314
0,0.76478314
-0.19397151,-0.39915597
1.399156,1.1939715
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
0,-0.76478314
0,0.76478314
-0.19397151,-0.39915597
1.399156,1.1939715
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
-0.21437699,-0.9837122
-1.9837122,0.78562295
0,-0.76478314
0,0.76478314
0.21437699,-0.98371214
1.9837122,0.785623
-0.21437699,-0.9837122
-1.9837122,0.78562295
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.24550778,-0.98010033
1.9801004,1.2455077
-0.21437699,-0.9837122
-1.9837122,0.78562295
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.24550778,-0.98010033
1.9801004,1.2455077
0,-0.76478314
0,0.76478314
-0.23174834,-0.99733776
-0.23174834,0.99733776
1.1367123,-1.5789859
2.578986,-0.13671237
-0.23174834,-0.99733776
-0.23174834,0.99733776
1.1367123,-1.5789859
2.578986,-0.13671237
0.19397146,-0.39915603
-1.3991561,1.1939714
0,-0.76478314
0,0.76478314
-0.19397151,-0.39915597
1.399156,1.1939715
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
0.19397146,-0.39915603
-1.3991561,1.1939714
-0.23174834,-0.99733776
-0.23174834,0.99733776
-0.55657506,-0.2982629
1.298263,1.5565751
